LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_2_TEXT,Q2,Q4,Q5_1,Q5_2,State,County,Q29,Q7,Q8,Q8_10_TEXT,Q9,Q9_9_TEXT,Q31,Q10,Q28,Q13,Q14_1,Q15,Q15_14_TEXT,Q20,Q20_11_TEXT,Q22,Q27,Q30,Q21,Q26,Q16,Q17,Q18,Q19
34.58909607,-86.99089813,anonymous,EN,,Alabama,Alabama Mountain Lakes Tourist Association,,,Leave No Trace,"We are working on a Leave No Trace for our North Alabama Waterfall Trail - with COVID we have new users that are leaving trash, face mask and gloves and destroying our valuable assets.  We are working on our Principals for Leave No Trace and will need help with signage to place at each of our locations to help slow down the abuse.",Alabama,,,,"Developing recreational areas, trails, and waterways,Safeguarding rivers, watershed, water supplies, and clean water,Preserving natural areas and wildlife habitat,Creating and improving state and local parks",,"National Park Service,State and Local Assistance Program",,Development,Planning,,"$0 - $250,000",100000,"Backpacking/Hiking,Biking,Campground + Hospitality,Canoeing, Kayaking and Rafting,Other (please describe):",waterfalls,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",,New concept,Yes,,No,,,TVA has given us some funding for this project.,We have support from all our 16 County Gov't for creating this,
35.13690186,-106.5198975,anonymous,EN,,Colorado,CDTC,,,Teresa Martinez,"Acquisition of lands for access to the Continental Divide National Scenic Trail (CDT) which may also include oter infracstructure projects to support trailheads, trail kiosks and other facilities to suport the CDT's use.",New Mexico,Cibola County,"Between Grants and Pie Town, NM and near Cuba NM",BLM,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Preserving natural areas and wildlife habitat,Supporting local economies and jobs through increased outdoor recreation",,Bureau of Land Management,,Combination (Acquisition and Development),Other,COmpletion of the CDT and assocaited infrastructure to support use by the public,"$1,750,000+",2.5,"Backpacking/Hiking,Biking,Equestrian,Hunting,Skiing/Snowboarding,Wildlife Watching,Other (please describe):",trail running,"Rural,Urban,Low-income,Communities of color,Tribal/Native American,Youth,Adults,Senior,Disabled",,New concept,No,Finalization of the trial location and identification of willing sellers.,No,,This project fits into all four of the current NM SCORRP Prioirties.,"IN most areas we have buy in from local communities and local businesses.  The most affected communities : Cuba and Grants, NM are designated gateway communities of the CDT and therefore are already committed to supporting the concept of the CDT through their community.  Future work would be focused on maintaining and growing support both from the general public and local elected officials. The BLM, USFS, and NPS, as appropriate, are all supportive of the projects.",See above.  There is tremebdous supportf rom the local communities for the development of the CDT.  Working groups in both project areas meet monthly and support ongoing field based work and relationship building.,"In some ways - yes.  IN other ways it supports development of infrastructure that attracts out of town visitors. The CDNST is a congressionally designated trail that has the potential to support local communities through development of recreation areas, (which support economic devleopment, public health and other values) as well as attracting out of town visitors to visit and support local businesses.  Because the CDNST is primarily in remote rural communities- the greatest inlfuence is on those rural communities, but due to its nature of attracting out of town visitation-and the proximity to major urban areas in New Mexico- it has the potential to serve as a recreational resource for urban centers as well."
39.9703064,-105.4813004,anonymous,EN,,Colorado,MHJC/ RPRA/CORE,,,Wildcat Canyon OHV recreation area,"Reopen temporary closures of routes in the Colorado Wildcat Canyon area ( ""The Gulches"" and Corral Creek road due to wildfire 15 years ago.",Colorado,Park County,PArk adn Teller Counties,US Forest Service,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Safeguarding rivers, watershed, water supplies, and clean water,Preserving natural areas and wildlife habitat,Other (please describe):",,"U.S. Forest Service,State and Local Assistance Program",,Development,Trails Development/Renovation ,,"$0 - $250,000",50000,"Backpacking/Hiking,Biking,Campground + Hospitality,Fishing,Hunting,Motorized Use,Canoeing, Kayaking and Rafting,Wildlife Watching,Rock Climbing,Other (please describe):",OHV use,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Tribal/Native American,Youth,Adults,Senior,Disabled",,New concept,Yes,,Yes,CORE/RPRA/MHJC,"FIts well, just a reopening of existing paths, routes and roads to public access","Teller county has adopted these roads for public access, Park COunty needs to do the same.  Politics have enterred the picture in 2020 and have convoluted the process
",,Public officials other than Park County commissioners and Federal employees are in favor of the reopening.
26.93499756,-80.11779785,anonymous,EN,,Florida,"Andrew Red Harris Foundation, Inc",,,2021 offshore artificial reef expansion,We will expand our 3300' Jupiter reef in 58' and 3000' Juno Beach reef in 80' of water with 3000 tons of limestone boulders,Florida,Palm Beach County,,"We partner with the ACOE permnit hgolder, Palm Beach County government","Developing recreational areas, trails, and waterways,Other (please describe):",building new offshore habitat for fishing and diving,Fish & Wildlife Service,,Development,Fishing/Boardwalk,,"$250,001 - $500,000",395000,"Boating,Fishing",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",,New concept,Yes,,Yes,"Public funding $102,500 so far, private funding $125,000 so far. We have raised and spent over $2.5 million building our Jupiter and Juno Beach reef tracts over the past 6 years.","not familiar with SCORP, we are a private volunteer non profit",Palm Beach County and it's Enbvironmental Resoiurce management division have been our primary partners over the past 6 years. We just finished our second three year agreement with them and just today I signed the papers for our third three years.,"We have huge local support from our county, town, inlet maintenence district, etc and many, many local businesses, residents and from foundations all over the US","We are expoanding offshore reef habitat to help our marine resources keep pace with the presswures of population growth.
Check out our facebook page videos for current content and website, http:andrewredharrisfoundation.org"
35.65649414,-106.010498,anonymous,EN,,New Mexico,NMSLO,,,Bandelier - Falls trail,"Due to washout, the falls trail is blocked and stops visitors from proceeding beyond the falls.  Rehabilitate the trail so that hikers can safely complete the trail down to the Rio Grande River.  Re-establishing river access via this trail would enhance the visitor experience.",New Mexico,Los Alamos County,"Los Alamos, White Rock",National Parks,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Preserving historic battlefields and cultural sites,Creating and improving state and local parks",,National Park Service,,Development,Hiking area,,Unknown,,"Backpacking/Hiking,Fishing,Wildlife Watching",,"Rural,Tribal/Native American",,Unknown,Unknown,,Unknown,,,,,
36.7039032,-105.5950012,anonymous,EN,American Trails,New Mexico,Enchanted Circle Trails Association,,,Carl Colonius,"Development of community identified priority trail segments in the Enchanted Circle.  Projects include trail sets with both BLM, Carson National Forest,  Taos Pueblo, Taos County, Village of Taos ski Valley, Village of Questa, Town of Red River and others.  Projects vary in proximity to being shovel ready, being conceptual or in mid-environmental assessment phase, but all are moving forward towards to enhancement of recreational and alternative transportation infrastructure.",New Mexico,Taos County,multiple,"BLM, Carson National Forest, Taos County.","Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Supporting local economies and jobs through increased outdoor recreation",,"Bureau of Land Management,U.S. Forest Service,State and Local Assistance Program",,Development,Trails Development/Renovation ,,"$1,750,000+",,"Backpacking/Hiking,Biking,Equestrian,Fishing,Hunting,Motorized Use,Rock Climbing",,"Rural,Low-income,Communities of color,Tribal/Native American,Youth,Adults,Senior,Disabled",,New concept,No,"Horsethief Mesa Trail System - 2021 EA completion, 21-22 implementation
Questa to Red River Trail - 2021 NEPA, 2022 implementation
Talpa Ridge Trail System - 2021 NEPA, 2022 implementation",No,,Our projects fit the priorities identified within the NM SCORP perfectly.  We also have the Enchanted Circle Trails Plan that was completed in 2017 that has been adopted by resolution by every local municipality in the region.  Our projects also align with both the USFS and BLM Management Plan priorities.,ECTA has developed a three-stage trail maintenance strategy that includes 1) annual Trail Master Training to increase local trail stewardship skill sets; 2) an Adopt a Trail program to align local businesses and civic groups with trail segment stewardship; and 3) regularly scheduled community Trail Stewardship events for larger scale projects.,"We have strong community support, solid alignment with local user groups such as the local IMBA Chapter, Taos Mountain Bike Association, the Taos Saddle Club, the Moreno Valley Trekkers and the Enchanted Circle Off Highway Vehicle Association.","Our projects are based in the Enchanted Circle Trails Plan, and have three significant objectives: 1)increase connection to public lands to vitalize community; 2) economic development by increasing eco-tourisma nd the outdoor recreation industry around enhanced trail infrastructure; and 3) improvement of regional health indicators by increasing human powered transportation and access to recreational infrastructure"
36.17500305,-115.1371994,anonymous,EN,,New Mexico,NM Department of Game & Fish,,,Recreational Shooting Range(s) Santa Fe County,"Santa Fe County does not have a structured shooting range to provide hunters and shooters a safe, designated, clean area to practice. There is a lot of wildcat shooting on BLM and USFS lands around the city of Santa Fe. Some of this occurs close to developed neighborhoods. A developed shooting range would improve recreational opportunities by moving shooters to one (or more) areas and eliminate mush of the shooting that occur randomly throughout public land. ",New Mexico,Santa Fe County,,Santa Fe County / BLM / NM Department of Game & Fish ,"Developing recreational areas, trails, and waterways,Safeguarding rivers, watershed, water supplies, and clean water,Preserving natural areas and wildlife habitat,Creating and improving state and local parks,Supporting local economies and jobs through increased outdoor recreation",,"Bureau of Land Management,Fish & Wildlife Service",,Development,Archery/Shooting Ranges,,"$1,750,000+",,"Hunting,Other (please describe):","shooting, archery ","Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",,New concept,No,The NEPA has just started for this project. ,No,,,"A third party, non-profit is being explored as a possible management party. ","This project has support form the BLM, USFS Santa Fe District, Santa Fe County County Commission, Open Space and Sheriff's Office, New Mexico Department of Game and Fish, US Fish and Wildlife Service. ","Yes, the areas where the public shoot recreationally many other recreational activities also occur in these areas. Providing designated, structured shooting areas, will alleviate much of the wildcat shooting."
36.38490295,-105.2438965,anonymous,EN,,New Mexico,Village of Eagle Nest,,,Eagle Nest Lake State park trail to Cimmaron Canyon State Park.," the Village of Eagle Nest would like New Mexico State Parks to create a trail conecting these two state parks. To go from one park to the other, you are required to drive the 2 miles. The Village of Eagle Nest would benifit economically by a trail being constructed connecting the two park by a non-motorized trail. ",New Mexico,Colfax County,Village of Eagle Nest,"New Mexico State Parks, BLM","Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Creating and improving state and local parks",,"Bureau of Land Management,State and Local Assistance Program,Other (please describe):",NM State Parks,Development,Trails Development/Renovation ,,"$750,0001 - $1,000,000",,"Backpacking/Hiking,Biking,Boating,Campground + Hospitality,Equestrian,Fishing,Hunting,Canoeing, Kayaking and Rafting,Wildlife Watching",,"Rural,Communities of color,LGBTQ,Tribal/Native American,Youth,Adults,Senior",,New concept,No, Require funds for planning and design. 1 year 2022,Unknown,, It fits well with New Mexico's outdoor plans by increasing access to non-motorized trails connecting two busy state parks.," The current state parks director, Christy Tafoya, is very interested in perusing this project. BLM has also expressed an interest. "," Total project buy-in by the current local administration, State Parks director, and the local ""Friends"" group for Eagle Nest Lake State Park."," This project will benefit the local community by providing joint access to two state parks by a the proposed connecting trail. The area affected is poor, rural and sees frequent out of state visitors. The village depends on the tourism brought in by use of these two parks. Creating better access to both parks by this proposed project will benefit area youth and seniors."
39.73010254,-104.9077988,anonymous,EN,Society of Outdoor Recreation Professionals,New Mexico,,,,Shannon ,Trail mapping and signage for the whole county.,New Mexico,Doña Ana County,Las Cruces,Organ Mountain Dersert Peaks Monument,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Conserving working forests, farms, and ranches,Preserving natural areas and wildlife habitat,Creating and improving state and local parks,Supporting local economies and jobs through increased outdoor recreation,Increasing park access in urban settings",,"Bureau of Land Management,Fish & Wildlife Service,State and Local Assistance Program",,Development,Trails Development/Renovation ,,"$250,001 - $500,000",250000,"Backpacking/Hiking,Biking,Campground + Hospitality,Hunting,Wildlife Watching,Rock Climbing",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Youth,Adults,Senior,Disabled",,Unknown,Yes,,Unknown,,This is the best start to gain the interest and support of the Community.,Local govt. is involved in identifying the need and the priorities for the project.,"Citywide and countywide trail system.


Including cycling, running and walking.",Yes.  This will connect many communities.
35.14100647,-106.7109985,anonymous,EN,,New Mexico,Santa Fe County,,,Arroyo Hondo Trail Segment 1,"Final Design, Multi-Use Trail",New Mexico,Santa Fe County,Santa Fe region,County of Santa Fe,"Developing recreational areas, trails, and waterways,Supporting local economies and jobs through increased outdoor recreation,Increasing park access in urban settings",,State and Local Assistance Program,,Development,Trails Development/Renovation ,,"$1,250,001 - $1,500,000",1379805,"Backpacking/Hiking,Biking,Wildlife Watching,Other (please describe):",Connects Commuter Rail station to the College,"Rural,Urban,Low-income,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",,Unknown,Yes,,Yes,County of Santa Fe and NMDOT have provided funding for the other trail segments.,This Mulituse trail is included and local plans and support the SCORP.,County of Santa Fe and NMDOT have provided funding for the other trail segments.,County of Santa Fe and NMDOT have provided funding for the other trail segments.,Serves a recreational and utilitarian market.
