Project,ORR,Org_Location,Organization_Name,State,County,Type,Category,Description,FY,Municipality,Sponsor,"6. Which part of LWCF's mission does the project relate to? 
Select all that apply. - Other (please describe): - Text",Program?," Category (if ""other)",Cost_Range,Estimate_Cost,type_rec,"What other types of recreation would the project support, if ""other""",demographics,app_submitted,shovel-ready,"If project is not shovel ready, what is the projected timeline to get it off the ground?",private_match,"If yes, please describe confirmed funders and level of commitment.","Based on the total cost of the project and the private match secured to date, how much LWCF funding will be required to complete the project?",Please comment on the project’s fit with existing state Statewide Comprehensive Outdoor Recreation Plan (SCORP) or local recreation plans.,Please comment on the project’s current buy-in from state and/or local public agencies committed to its future management.,"Please comment on the project’s current support from local, regional or statewide community and/or elected officials (i.e. NGOs and politicians).","Is the project solving for a broader outdoor recreation need (e.g. improved access for park-poor communities, rural development)? Please explain."
Achenbach Canyon,,New Mexico,Southern New Mexico Trail Alliance,New Mexico,Doña Ana County,Acquisition,Acquisition,The project would acquire a private parcel to secure public access and build trailhead to the existing Achenbach Canyon trail and Organ Mountains Wilderness within the Organ Mountains Desert Peaks National Monument. (BLM Las Cruces Unit),FY23 and Beyond,Las Cruces,BLM,,Bureau of Land Management,,Unknown,,"Backpacking/Hiking,Equestrian,Hunting,Wildlife Watching,Rock Climbing",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior",Application Submitted,Yes,,Unknown,,Unknown,Unknown,BLM has discussed purchasing this parcel in the past,Has support from local community and organizations.,Yes. Protects access to an already popular trail and area of the National Monument
Carronde Park Water Trail Connection and Fishing Platform,,Michigan,,Michigan,Berrien County,Development,Fishing/Boardwalk,"We seek to build an ADA-compliant fishing platform, an accessible kayak launch, accessible walkways, and parking that will all be along the river's edge. ",FY23 and Beyond,St. Joseph Township,,Provide public access to the waterways,State and Local Assistance,,"$250,001 - $500,000",400000,"Fishing,Wildlife Watching, Boating",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",Application Submitted,,,,,"$200,000",,,,
Chelan-Renovating Lakeside Park,,Washington,RCO,Washington,Chelan County,Development,"Beach/Harbor/Marina (boathouses, beaches piers/pavilions, boat launches)","The Chelan Parks and Recreation Department will use this grant to renovate Lakeside
Park. The heavily used park provides significant public access to Lake Chelan. The goals
of the renovation are to expand capacity, improve accessibility, and increase recreational
opportunities. The City will add swim platforms and float lines, enhance the launch for
nonmotorized boats, add parking, renovate the restroom, expand accessibility for
people with disabilities with pathways and other improvements, renovate the
playground with natural and sculptural elements, and expand the beach landward to
increase access while decreasing erosion. Other sustainability features include a green
roof and natural lighting in the restroom, native plants to improve habitat near the
beach and for pollinator species, permeable paving in parking areas, and stormwater
treatment. ",FY22,Chelan,Chelan Parks and Recreation Department,,State and Local Assistance Program,,"$1,000,001 - $1,250,000",1187596,"Canoeing, Kayaking and Rafting,Sailing/Motorboating,Other (please describe):",Swimming,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",Application Submitted,Yes,,Yes,"Chelan--$687,596 in cash and a grant from the State of Washington Wildlife and Recreation Program","$250,001 - $500,000",,,,
College Place--Developing a Fitness Trail and Fishing Pond in Lions Park,,Washington,RCO,Washington,Walla Walla County,Development,"Trails Development/Renovation (trail resurfacing, bridge construction, multi-use paths)","The City of College Place will use this grant to develop a quarter-mile fitness trail and restore the pond in Lions Park. The City will develop fitness zones along the trail that include resistant weight strengthening. In addition, the City will dredge the pond and restore the banks of the pond and creek, remove the fish weir, and add a fishing dock that is accessible to people with disabilities. Finally, the City will install stormwater treatment and lighting. College Place will contribute $889,233 in cash and donations.",FY22,College Place,City of College Place,,State and Local Assistance Program,,"$1,250,001 - $1,500,000",1389233,Other (please describe):,Walking/Fitness,"Rural,Low-income,Black Americans,Communities of color,LGBTQ,Youth,Adults,Senior",Application Submitted,Yes,,Yes,"College Place--$889,233 in cash and donations","$250,001 - $500,000",,,,
Covington--Creating an Entry to Jenkins Creek Park,,Washington,RCO,Washington,King County,Combination (Acquisition and Development),"Infrastructure (parking areas, electrical, roads, ADA accessibility, shelters, water treatment, waste management)","The City of Covington will use this grant to buy nearly 2 acres and develop them as the main entry to the 22-acre Jenkins Creek Park. The park sits in the center of Covington
but lacks visibility from a major street, suffers from no main entrance, and is not well
used. The City will add parking, entry signs, a trailhead kiosk, garbage cans, lighting, and
a gate. In addition, the City will restore a stream and improve the natural environment
that is known for rare native plants and animals. The land is zoned for commercial use
and is at risk of development. Covington will contribute more than $2.9 million in cash,
Conservation Futures, and a grant from the Washington Wildlife and Recreation
Program.",FY22,Covington,City of Covington,,State and Local Assistance Program,,"$1,750,000+",3418360,"Backpacking/Hiking,Biking",,"Low-income,Black Americans,Communities of color,LGBTQ,Youth,Adults,Senior",Application Submitted,Yes,,Yes,"City of Covington--$2,900,000 in Cash, Conservation Futures, and a grant from the Washington Wildlife and Recreation Program","$250,001 - $500,000",,,,
Crooked River,,Oregon,American Whitewater,Oregon,Jefferson County,Acquisition,Acquisition,"The 101-acre Crooked River Canyon property (currently held by Trust for Public Land) provides critical access to the Crooked River. The Crooked River is a nationally designated wild and scenic river which runs through the high desert in central Oregon and provides remote recreational opportunities including fishing, whitewater boating, wildlife viewing, and stunning scenic views. Because of the influx of cold ground spring water through the canyon walls, the river is home to unique ecosystems of lush gardens of plants rare to central Oregon’s arid climate. Despite the fact that this river is nationally designated, there is very limited public access. All points where the river is easily accessible are privately owned, making it very difficult for the public to enjoy this resource. This property is one of the few areas where public access is available. The Crooked River Canyon parcel contains the “outstandingly remarkable” scenic and recreational values that led Congress to designate the Lower Crooked River as a part of the national wild and scenic river system.",FY22,Terrebone,Ochoco NF,,U.S. Forest Service,,Unknown,,"Boating,Fishing,Canoeing, Kayaking and Rafting",,"Rural,Adults",Application Submitted,Yes,,Unknown,,,"Provides waterway access, a SCORP priority.",Strong support.,Strong support.,Provides public access to a wild and scenic river with limited access.
Eastview/Westview Park Improvements,,Ohio,,Ohio,Mercer County,Development,State/Local park creation,"The project hopes to build shelter houses, kayak and canoe launch pads, playground equipment, and a skate park overhaul at Eastview and Westview Parks.",FY23 and Beyond,Celina,Celina City Council,"Developing recreational areas, trails, and waterways,Enhancing access to national parks, forests, wildlife refuges, and other public lands,Safeguarding rivers, watershed, water supplies, and clean water,Preserving natural areas and wildlife habitat,Supporting local economies and jobs through increased outdoor recreation",State and Local Assistance,,"$750,0001 - $1,000,000",1000000,"Playground, Skating, Disc Golf, Kayaking, Canoe, Ball Sports",,"Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",Application Submitted,,,,,"$500,000",,,,
"Fishing Pier, Delaware City Branch Channel of the C&D Canal",,Delaware,Main Street Delaware City Inc,Delaware,New Castle County,Development,Fishing/Boardwalk,"This project is a multi-use platform on the west side of the Delaware City Branch Channel of the C&D Canal. The impetus for the project was for fishing and wildlife viewing which is adjacent to a widely used, very popular multi-purpose connector trail opened in 2016.

Funding fell through in a shovel ready construction project of a fishing pier and wildlife observation.  This platform compliments the Connector Trail between the City of Delaware City and the Mike Castle recreation Trail that runs east-west along the C&D Canal in Delaware.  This trail connects to the Ben Cardin Trail in Maryland.

The connector trail is a restoration, in part, of the orignal C&D Canal tow-path.",FY22,"City of Delaware City, DE",City of Delaware City or Delaware Fish and Wildlife,,State and Local Assistance Program,,"$500,001 - $750,000",,"Backpacking/Hiking,Biking,Fishing,Wildlife Watching",,"Rural,Urban,Low-income,Black Americans,Communities of color,LGBTQ,Immigrants,Tribal/Native American,Youth,Adults,Senior,Disabled",Application Submitted,Yes,,Unknown,,"$500,001 - $750,000",This project was designed to compliment an existing multi-use trail. The trail has been very successful since its opening in 2016.,"The project was designed as part of a joint plan by the City of Delaware City, the State of Delaware and the Main Street Delaware City Inc organization.",The project has been dormant for several years looking for a source of funding. Both the City of Delaware City and the State of Delaware approved this project in 2014-2015 timeframe but the project lacked funding.,Fishing piers along the C&D are in high demand.  This would provide an additional fishing location in a very desirable fishing area.
Gallinas River Park Revitalization,,New Mexico,Hermit's Peak Watershed Alliance,New Mexico,San Juan County,Development,,"The project would improve the Gallinas River Park, which honors the exceptional quality of the Gallinas River and its riparian area. The park is vital for the community of Las Vegas to protect its crucial water supply, cultivate its outdoor recreation and urban agriculture capability, boost its economy, celebrate its unique cultural and historical identity, and improve its overall quality of life. The Gallinas River Park has the potential to be the centerpiece of Las Vegas, a place for locals and visitors alike to be proud of and enjoy.",FY23 and Beyond,Las Vegas,"State of NM, San Miguel County, City of Las Vegas, and others",,State and Local Assistance,,"$1,750,000+",6500000,"Backpacking/Hiking,Biking,Fishing,Wildlife Watching,Playground",,"Rural,Urban,Low-income,Communities of color,Tribal/Native American,Youth,Adults,Senior,Disabled",Application Submitted,Yes,,No,,"$1,750,000+",,,,"Yes, the goal of the Gallinas River Park Project is to connect the riverwalk in the center of town to a greater trail system, linking it to the Montezuma Hot Springs and Pond, the Las Vegas National Wildlife Refuge and Storrie Lake State Park."
Garfield Park and Recreation District-Improving Garfield Pool,,Washington,RCO,Washington,Whitman County,Development,Pool/Aquatic Centers,"The Garfield Park and Recreation District will use this grant to replace the 60-year-old pool facilities that serve as the only water recreation for the community. Currently the pool liner is leaking, the lighting cannot be turned on as it risks electrocuting patrons, the restroom and locker room areas are outdated and not universally accessible, and the
wading pool does not function. The district will replace the restroom, rehabilitate the lap pool, and replace the wading pool with a splash pad. The objective of this project is to add 50 years of life to this facility. The Garfield Park and Recreation District will contribute $500,000 in a grant from the Washington Wildlife and Recreation Program
and donated cash.",FY22,Garfield,Garfield Park and Recreation District,,State and Local Assistance Program,,"$750,0001 - $1,000,000",1000000,Other (please describe):,Swimming,"Rural,Low-income,Youth,Adults,Senior",Application Submitted,Yes,,Yes,"Garfield Park and Recreation District--$500,000 in grant from Washington Wildlife and Recreation program","$250,001 - $500,000",,,,
